ID,Dispositivo,Marca,Modelo,Tipo,Componente_Fallido,Error_Especifico,Diagnostico,Severidad,Solucion_Recomendada,Estado,Costo_Estimado_USD,Tiempo_Reparacion_Horas
623,Laptop,Samsung,Galaxy Book2 Pro,Económica,Batería,"Batería inflada, deformación visible del chasis","Batería en estado crítico. Batería inflada, deformación visible del chasis. Retirar si está inflada por riesgo de seguridad.",Crítica,Retirar batería inmediatamente por seguridad (inflamación). Usar solo con cargador.,En diagnóstico,66.82,47.8
624,Computadora,HP,OMEN 25L,Torre,RAM,Error MEMORY_READ_EXCEPTION en tareas pesadas,Diagnóstico general: Error MEMORY_READ_EXCEPTION en tareas pesadas. Se requiere revisión técnica especializada.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Reparable,45.17,3.4
625,Tablet,Microsoft,Surface Pro 10,Estándar,Pantalla,"Brillo de pantalla no ajusta, sensor ALS dañado","Diagnóstico: Panel o componentes de pantalla dañados. Brillo de pantalla no ajusta, sensor ALS dañado. Probar con monitor externo para descartar GPU.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,268.16,3.4
626,Laptop,Lenovo,IdeaPad Gaming 3,Económica,BIOS,Error de checksum en BIOS al arrancar,Problema de configuración BIOS. Error de checksum en BIOS al arrancar. Solución: Reset de configuración y actualización de firmware.,Media,Reset de CMOS y reconfiguración de BIOS. Actualizar a última versión estable.,Garantía vigente,88.9,7.6
627,Laptop,MSI,Stealth 15M,Workstation,Teclado,"Fn keys no funcionan, controlador ACPI dañado","Diagnóstico general: Fn keys no funcionan, controlador ACPI dañado. Se requiere revisión técnica especializada.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,Garantía vigente,148.12,3.3
628,Computadora,Gigabyte,Aero D1 Desktop,Workstation,Disco Duro/SSD,"Disco lento, tiempos de lectura excesivos y errores SMART","Diagnóstico general: Disco lento, tiempos de lectura excesivos y errores SMART. Se requiere revisión técnica especializada.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,167.28,7.3
629,Laptop,Huawei,MateBook E Go,2 en 1,RAM,Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones,Problema de display detectado. Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones. Evaluar reemplazo de panel o componentes asociados.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,Reparable,49.63,2.8
630,Laptop,Apple,MacBook Air M1,Chromebook,Ventilación,Acumulación excesiva de polvo en ventilador y disipador,Diagnóstico general: Acumulación excesiva de polvo en ventilador y disipador. Se requiere revisión técnica especializada.,Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,Reparable,37.95,3.2
631,Laptop,MSI,Summit E16,Premium,Teclado,"Teclado se desconecta aleatoriamente, flex dañado","Teclado con malfunction. Teclado se desconecta aleatoriamente, flex dañado. Verificar flex de conexión y controlador.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Garantía vigente,142.32,2.3
632,Computadora,Dell,OptiPlex 7090,Mini PC,Batería,"Batería inflada, deformación visible del chasis","Fallo en sistema de alimentación por batería. Batería inflada, deformación visible del chasis. Reemplazo de batería necesario.",Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,133.09,5.6
633,Laptop,Lenovo,IdeaPad 5 Pro,Workstation,BIOS,Error de checksum en BIOS al arrancar,Se requiere flashear la BIOS para restaurar funcionalidad. Error de checksum en BIOS al arrancar,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,En diagnóstico,143.87,21.7
634,Tablet,Apple,iPad mini 6,Profesional,Disco Duro/SSD,Partición de recuperación inaccesible en disco,Diagnóstico general: Partición de recuperación inaccesible en disco. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Reparable,114.27,12.1
635,Computadora,HP,Pavilion Desktop,Gaming,Audio,"Audio con estática y crujidos, DAC defectuoso","Problema de sonido. Audio con estática y crujidos, DAC defectuoso. Probar con auriculares para descartar altavoces.",Crítica,Reemplazo de codec de audio o usar tarjeta de sonido USB externa.,Requiere reemplazo de componente,86.86,15.9
636,Computadora,Acer,Nitro 50,All-in-One,Fuente de Poder,"Fuente se apaga después de 10 minutos, sobrecalentamiento","Diagnóstico general: Fuente se apaga después de 10 minutos, sobrecalentamiento. Se requiere revisión técnica especializada.",Baja,Monitorear voltajes. Considerar reemplazo preventivo.,Reparable,43.68,1.2
637,Tablet,Xiaomi,Pad 5 Pro 5G,Educacional,RAM,"Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM","Diagnóstico: Memoria RAM con errores. Pantalla azul IRQL_NOT_LESS_OR_EQUAL, corrupción en RAM. Ejecutar MemTest86 para confirmar sector dañado.",Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,En diagnóstico,66.82,17.4
638,Computadora,Lenovo,IdeaCentre AIO 3,Micro,Sistema Operativo,"Arranque lento, más de 5 minutos para iniciar sesión","Diagnóstico general: Arranque lento, más de 5 minutos para iniciar sesión. Se requiere revisión técnica especializada.",Alta,Reparación de arranque con herramientas de recuperación. SFC y DISM.,En diagnóstico,18.5,7.2
639,Computadora,ASUS,VivoBook 22 Desktop,Servidor,RAM,RAM no se inicializa al arrancar en frío,Problema de memoria. RAM no se inicializa al arrancar en frío. Revisar slots y limpieza de contactos con alcohol isopropílico.,Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,Reparable,87.77,1.8
640,Tablet,Huawei,MatePad T10,2 en 1,Disco Duro/SSD,"Disco se desconecta aleatoriamente, cable SATA defectuoso","Diagnóstico general: Disco se desconecta aleatoriamente, cable SATA defectuoso. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,246.35,30.1
641,Computadora,Huawei,MateStation S,Mini PC,Puertos,"Puerto SD card no lee tarjetas, slot dañado","Diagnóstico general: Puerto SD card no lee tarjetas, slot dañado. Se requiere revisión técnica especializada.",Alta,Reparar soldadura de puerto dañado. Usar adaptador temporal mientras se repara.,Reparable,71.62,20.5
642,Tablet,Lenovo,Tab P12 Pro,Económica,Motherboard,"Puerto de carga dañado, motherboard no recibe energía","Diagnóstico: Motherboard defectuosa. Puerto de carga dañado, motherboard no recibe energía. Verificar todas las pistas y componentes SMD.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,En diagnóstico,154.75,2.8
643,Computadora,Lenovo,Legion Tower 7i,Gaming,Conectividad,"Bluetooth no empareja dispositivos, stack dañado","Diagnóstico general: Bluetooth no empareja dispositivos, stack dañado. Se requiere revisión técnica especializada.",Baja,Resetear adaptador de red. Olvidar y reconectar redes WiFi.,En diagnóstico,63.48,2.5
644,Computadora,Lenovo,ThinkStation P350,All-in-One,Batería,"Laptop se apaga al desconectar el cargador, batería muerta","Batería en estado crítico. Laptop se apaga al desconectar el cargador, batería muerta. Retirar si está inflada por riesgo de seguridad.",Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,40.33,5.3
645,Computadora,Acer,Aspire XC,SFF,Ventilación,"Ventilador siempre al 100%, sensor de temperatura defectuoso","Diagnóstico general: Ventilador siempre al 100%, sensor de temperatura defectuoso. Se requiere revisión técnica especializada.",Media,Limpieza de polvo con aire comprimido. Verificar RPM del ventilador.,En diagnóstico,49.34,1.2
646,Laptop,ASUS,VivoBook 15,Workstation,Puertos,"Puerto SD card no lee tarjetas, slot dañado","Diagnóstico general: Puerto SD card no lee tarjetas, slot dañado. Se requiere revisión técnica especializada.",Crítica,Reemplazo de placa de puertos o motherboard. Daño irreparable en múltiples puertos.,Fuera de servicio,192.93,44.8
647,Tablet,Lenovo,Tab P12 Pro,Estándar,Ventilación,"Ventilador vibra anormalmente, aspas desbalanceadas","Diagnóstico general: Ventilador vibra anormalmente, aspas desbalanceadas. Se requiere revisión técnica especializada.",Crítica,Reemplazar disipador y ventilador. Reaplicar pasta térmica de calidad. Limpieza completa.,Requiere reemplazo de componente,74.44,9.0
648,Laptop,Lenovo,ThinkPad E14,Premium,Conectividad,"Conexión WiFi se cae constantemente, driver inestable","Diagnóstico general: Conexión WiFi se cae constantemente, driver inestable. Se requiere revisión técnica especializada.",Media,Actualizar drivers y firmware. Verificar configuración de red.,Garantía vigente,91.91,6.7
649,Laptop,Acer,Nitro 5,Ultrabook,Teclado,"Teclado se desconecta aleatoriamente, flex dañado","Teclado con malfunction. Teclado se desconecta aleatoriamente, flex dañado. Verificar flex de conexión y controlador.",Alta,Reemplazar teclado completo. Verificar si hay daño adicional por líquido.,Requiere reemplazo de componente,36.94,7.4
650,Computadora,ASUS,VivoBook 22 Desktop,Mini PC,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Requiere reemplazo de componente,191.46,4.6
651,Computadora,HP,HP 290 G9,Micro,Conectividad,"WiFi muestra redes pero no conecta, error de autenticación","Diagnóstico general: WiFi muestra redes pero no conecta, error de autenticación. Se requiere revisión técnica especializada.",Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,Reparable,86.73,11.2
652,Laptop,Lenovo,ThinkPad T14,Chromebook,Disco Duro/SSD,"Ruidos de raspado en disco duro, cabezal dañado","Diagnóstico general: Ruidos de raspado en disco duro, cabezal dañado. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,163.35,5.3
653,Laptop,Toshiba,Satellite Pro R50,Workstation,Disco Duro/SSD,"SSD no detectado en BIOS, controlador NVMe dañado","Fallo en firmware BIOS. SSD no detectado en BIOS, controlador NVMe dañado. Se recomienda reemplazo de chip BIOS.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,Reparable,40.52,5.5
654,Laptop,Acer,Aspire 3,Ultrabook,Pantalla,"Pantalla parpadea constantemente, inverter defectuoso","Fallo en sistema de visualización. Pantalla parpadea constantemente, inverter defectuoso. Verificar cable flex y controlador de backlight.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,En diagnóstico,230.47,18.0
655,Laptop,Apple,MacBook Pro 14 M3,Premium,Ventilación,"Ventilador no arranca al encender, motor quemado","Diagnóstico general: Ventilador no arranca al encender, motor quemado. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Reparable,69.74,11.9
656,Tablet,Microsoft,Surface Pro 9,Económica,Disco Duro/SSD,"SSD no detectado en BIOS, controlador NVMe dañado","Problema de configuración BIOS. SSD no detectado en BIOS, controlador NVMe dañado. Solución: Reset de configuración y actualización de firmware.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,120.42,41.5
657,Computadora,Lenovo,IdeaCentre Gaming 5,Mini PC,Batería,Batería no suministra energía suficiente bajo carga,Diagnóstico: Batería defectuosa. Batería no suministra energía suficiente bajo carga. Reemplazar con batería original certificada.,Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,Requiere reemplazo de componente,110.84,16.9
658,Computadora,MSI,Cubi 5,SFF,Batería,"Advertencia de batería genuina, chip de autenticación dañado","Fallo en sistema de alimentación por batería. Advertencia de batería genuina, chip de autenticación dañado. Reemplazo de batería necesario.",Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,49.25,5.8
659,Computadora,HP,Pavilion Desktop,Micro,Teclado,"Teclado escribe caracteres incorrectos, layout mal configurado","Teclado con malfunction. Teclado escribe caracteres incorrectos, layout mal configurado. Verificar flex de conexión y controlador.",Crítica,"Reemplazo completo del teclado. Si es por líquido, evaluar daño a motherboard.",Requiere reemplazo de componente,122.19,26.8
660,Computadora,Apple,iMac 24 M3,Torre,Motherboard,Conector de pantalla dañado en motherboard de laptop,Motherboard con daño eléctrico. Conector de pantalla dañado en motherboard de laptop. Inspeccionar con microscopio y multímetro.,Media,Reparar pista o componente específico. Verificar todos los circuitos de alimentación.,En diagnóstico,147.92,4.1
661,Laptop,Toshiba,Portege Z30,Económica,Sistema Operativo,"Kernel panic en macOS, extensión incompatible","Diagnóstico general: Kernel panic en macOS, extensión incompatible. Se requiere revisión técnica especializada.",Baja,Actualizar Windows/macOS. Ejecutar Windows Update y reparación de archivos.,En diagnóstico,57.73,1.9
662,Computadora,Apple,iMac 24 M3,Servidor,Audio,"Altavoces con distorsión, membrana dañada","Diagnóstico general: Altavoces con distorsión, membrana dañada. Se requiere revisión técnica especializada.",Crítica,Reemplazo de codec de audio o usar tarjeta de sonido USB externa.,En diagnóstico,41.63,18.9
663,Computadora,Apple,Mac Studio M2 Max,Torre,Puertos,"Puerto Thunderbolt no funciona, controlador dañado","Diagnóstico general: Puerto Thunderbolt no funciona, controlador dañado. Se requiere revisión técnica especializada.",Media,Limpiar puerto con aire comprimido. Verificar drivers del controlador USB.,En diagnóstico,115.69,2.4
664,Tablet,Apple,iPad 9th Gen,eReader,Disco Duro/SSD,"Disco con latencia alta, sectores lentos detectados","Diagnóstico general: Disco con latencia alta, sectores lentos detectados. Se requiere revisión técnica especializada.",Alta,Respaldar datos y reemplazar disco. Ejecutar recuperación con herramientas especializadas.,En diagnóstico,137.52,13.5
665,Tablet,Apple,iPad Air M1,Profesional,Disco Duro/SSD,"SSD no detectado en BIOS, controlador NVMe dañado","Diagnóstico: Corrupción de BIOS. SSD no detectado en BIOS, controlador NVMe dañado. Procedimiento: Reflashing con método de recuperación del fabricante.",Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,67.68,7.2
666,Laptop,Acer,Chromebook Spin 514,Premium,Disco Duro/SSD,Error de formato al intentar reparar disco,Diagnóstico general: Error de formato al intentar reparar disco. Se requiere revisión técnica especializada.,Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Requiere reemplazo de componente,85.06,27.2
667,Computadora,Lenovo,IdeaCentre Gaming 5,Gaming,Teclado,"Teclado escribe caracteres incorrectos, layout mal configurado","Diagnóstico: Teclado defectuoso. Teclado escribe caracteres incorrectos, layout mal configurado. Reemplazo del conjunto recomendado.",Media,Limpiar contacto de teclas afectadas. Verificar flex de conexión.,Reparable,40.45,6.6
668,Laptop,ASUS,ProArt StudioBook,Chromebook,Motherboard,"Southbridge dañado, puertos SATA no responden","Fallo en conectividad de puertos. Southbridge dañado, puertos SATA no responden. Verificar controlador I/O y soldaduras.",Crítica,Reemplazo de placa madre. Evaluar costo vs equipo nuevo. Rescatar componentes reutilizables.,Requiere reemplazo de componente,231.0,24.4
669,Computadora,MSI,Cubi 5,Workstation,Teclado,"Teclado retroiluminado no enciende, LED defectuoso","Problema de teclado. Teclado retroiluminado no enciende, LED defectuoso. Probar con teclado externo para confirmar diagnóstico.",Crítica,"Reemplazo completo del teclado. Si es por líquido, evaluar daño a motherboard.",En diagnóstico,30.66,31.2
670,Laptop,Samsung,Galaxy Book2 Pro,Económica,Ventilación,"CPU se sobrecalienta, ventilador no gira","Diagnóstico general: CPU se sobrecalienta, ventilador no gira. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Reparable,48.54,9.8
671,Laptop,Huawei,MateBook X Pro,Económica,Motherboard,"VRM de motherboard sobrecalentado, throttling severo","Diagnóstico: Motherboard defectuosa. VRM de motherboard sobrecalentado, throttling severo. Verificar todas las pistas y componentes SMD.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,En diagnóstico,286.14,23.0
672,Tablet,ASUS,ZenPad Z8s,2 en 1,Puertos,"Puerto de audio con estática, jack dañado","Fallo en sistema de audio. Puerto de audio con estática, jack dañado. Verificar controlador y hardware.",Alta,Reparar soldadura de puerto dañado. Usar adaptador temporal mientras se repara.,En diagnóstico,76.22,17.4
673,Tablet,Xiaomi,Pad 6,2 en 1,GPU,"Artefactos gráficos en pantalla, memoria VRAM dañada","Diagnóstico: Memoria RAM con errores. Artefactos gráficos en pantalla, memoria VRAM dañada. Ejecutar MemTest86 para confirmar sector dañado.",Alta,Reflow o reball de GPU. Reemplazar pasta térmica. Verificar alimentación.,Requiere reemplazo de componente,253.5,14.7
674,Computadora,Acer,Veriton X2680G,Torre,Motherboard,"Puertos USB traseros no funcionan, controlador I/O dañado","Fallo en conectividad de puertos. Puertos USB traseros no funcionan, controlador I/O dañado. Verificar controlador I/O y soldaduras.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Reparable,421.51,17.3
675,Laptop,Acer,TravelMate P2,Empresarial,Motherboard,MOSFET de alimentación del CPU quemado en motherboard,Fallo en placa madre. MOSFET de alimentación del CPU quemado en motherboard. Evaluar viabilidad de reparación vs reemplazo.,Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,En diagnóstico,322.97,7.2
676,Computadora,Apple,Mac Studio M2 Max,SFF,RAM,RAM DDR4 no arranca a la velocidad XMP especificada,Error de memoria RAM. RAM DDR4 no arranca a la velocidad XMP especificada. Verificar compatibilidad y velocidad de módulos.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Requiere reemplazo de componente,43.76,8.9
677,Laptop,Acer,Swift X,2 en 1,Motherboard,"Chip de audio dañado en motherboard, sin sonido","Fallo en placa madre. Chip de audio dañado en motherboard, sin sonido. Evaluar viabilidad de reparación vs reemplazo.",Alta,Reparación especializada de microsoldadura. Reemplazar componentes SMD dañados.,Requiere reemplazo de componente,115.74,16.8
678,Laptop,HP,EliteBook 650,Premium,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Garantía vigente,220.7,3.4
679,Computadora,Dell,G5 Gaming Desktop,Micro,Batería,"Laptop se apaga al desconectar el cargador, batería muerta","Diagnóstico: Batería defectuosa. Laptop se apaga al desconectar el cargador, batería muerta. Reemplazar con batería original certificada.",Alta,Reemplazar batería con original de fabricante. No usar baterías genéricas.,En diagnóstico,90.26,5.5
680,Computadora,ASUS,Chromebox 4,Workstation,BIOS,Voltaje de RAM configurado incorrectamente en BIOS,Diagnóstico: Corrupción de BIOS. Voltaje de RAM configurado incorrectamente en BIOS. Procedimiento: Reflashing con método de recuperación del fabricante.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,En diagnóstico,44.85,11.6
681,Tablet,Xiaomi,Pad 5 Pro 5G,Gaming,Disco Duro/SSD,Disco con Bad Blocks en zona crítica del sistema,Diagnóstico general: Disco con Bad Blocks en zona crítica del sistema. Se requiere revisión técnica especializada.,Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,En diagnóstico,60.37,1.8
682,Computadora,Gigabyte,B550 Vision D,Gaming,Batería,Sistema entra en hibernación repentino por batería,Batería degradada. Sistema entra en hibernación repentino por batería. Verificar con diagnóstico de fabricante.,Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Garantía vigente,138.33,4.3
683,Laptop,Huawei,MateBook D15,Empresarial,RAM,Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones,Diagnóstico: Panel o componentes de pantalla dañados. Pantalla azul MEMORY_MANAGEMENT al usar múltiples aplicaciones. Probar con monitor externo para descartar GPU.,Alta,Reemplazar módulo RAM dañado. Probar con módulo nuevo en slot afectado.,Reparable,67.09,5.9
684,Computadora,Gigabyte,B550 Vision D,Torre,Disco Duro/SSD,"SSD M.2 no hace contacto, slot dañado","Diagnóstico general: SSD M.2 no hace contacto, slot dañado. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,Fuera de servicio,151.96,24.1
685,Tablet,Samsung,Galaxy Tab S6 Lite,eReader,RAM,"RAM sobrecalentada, thermal throttling frecuente","Inestabilidad por RAM defectuosa. RAM sobrecalentada, thermal throttling frecuente. Probar módulos individualmente para aislar el dañado.",Media,Limpiar contactos con alcohol isopropílico. Reubicar módulos en slots diferentes.,Garantía vigente,94.22,1.7
686,Laptop,Dell,XPS 13,Premium,Pantalla,"Brillo de pantalla no ajusta, sensor ALS dañado","Fallo en sistema de visualización. Brillo de pantalla no ajusta, sensor ALS dañado. Verificar cable flex y controlador de backlight.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,360.41,5.2
687,Tablet,Xiaomi,Pad 6 Pro,eReader,BIOS,Temperatura CPU no reportada correctamente por BIOS,Diagnóstico: Corrupción de BIOS. Temperatura CPU no reportada correctamente por BIOS. Procedimiento: Reflashing con método de recuperación del fabricante.,Alta,Flashear BIOS desde USB con método de recuperación del fabricante. Verificar versión actual.,En diagnóstico,67.05,6.2
688,Computadora,Acer,Predator Orion 3000,All-in-One,Disco Duro/SSD,Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows,Diagnóstico general: Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Reparable,208.09,7.5
689,Computadora,Lenovo,IdeaCentre AIO 3,Workstation,Pantalla,"Pantalla con manchas oscuras, daño por presión","Display con defecto. Pantalla con manchas oscuras, daño por presión. Reemplazo de panel recomendado si costo es viable.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,97.3,14.0
690,Tablet,Samsung,Galaxy Tab S6 Lite,Gaming,Disco Duro/SSD,"Sistema no arranca, sector de arranque dañado en disco","Diagnóstico general: Sistema no arranca, sector de arranque dañado en disco. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,50.29,4.9
691,Laptop,HP,Pavilion 15,Premium,Conectividad,Módulo WiFi/Bluetooth no detectado en BIOS,Se requiere flashear la BIOS para restaurar funcionalidad. Módulo WiFi/Bluetooth no detectado en BIOS,Alta,Reinstalar drivers. Verificar antenas internas. Reemplazar módulo M.2 si aplica.,Requiere reemplazo de componente,56.2,3.2
692,Computadora,HP,OMEN 25L,Torre,Teclado,"Teclado repite caracteres, debounce defectuoso","Fallo en dispositivo de entrada. Teclado repite caracteres, debounce defectuoso. Evaluar reemplazo de teclado.",Baja,Limpiar tecla específica o reemplazar keycap. Verificar configuración de idioma.,En diagnóstico,109.53,2.9
693,Computadora,Gigabyte,AORUS Model S,Gaming,RAM,Memoria RAM causa artefactos visuales en pantalla,Error de memoria RAM. Memoria RAM causa artefactos visuales en pantalla. Verificar compatibilidad y velocidad de módulos.,Baja,Ejecutar diagnóstico de memoria extendido. Monitorear en próximos días.,Reparable,65.89,1.8
694,Tablet,Lenovo,Tab M11,2 en 1,Ventilación,"Ventilador vibra anormalmente, aspas desbalanceadas","Diagnóstico general: Ventilador vibra anormalmente, aspas desbalanceadas. Se requiere revisión técnica especializada.",Baja,Limpieza preventiva y monitoreo de temperaturas. Ajustar curva de ventilador.,Garantía vigente,58.22,0.7
695,Laptop,HP,Omen 16,2 en 1,Pantalla,"Flickering solo con batería, regulador de voltaje defectuoso","Problema de energía de batería. Flickering solo con batería, regulador de voltaje defectuoso. Evaluar seguridad de uso continuo.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,Garantía vigente,276.12,4.1
696,Laptop,HP,Pavilion Gaming 15,Premium,Disco Duro/SSD,Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows,Diagnóstico general: Error INACCESSIBLE_BOOT_DEVICE al iniciar Windows. Se requiere revisión técnica especializada.,Media,Ejecutar CHKDSK y reparación de sectores. Monitorear SMART diariamente.,Garantía vigente,206.92,1.0
697,Laptop,HP,Stream 14,Premium,Pantalla,"Pantalla con color amarillento, perfil de color corrupto","Display con defecto. Pantalla con color amarillento, perfil de color corrupto. Reemplazo de panel recomendado si costo es viable.",Baja,Calibrar pantalla y actualizar driver de vídeo. Ajustar perfil de color.,En diagnóstico,282.19,1.6
698,Laptop,MSI,Modern 14,Premium,Sistema Operativo,"Error de registro, sistema no carga perfil de usuario","Diagnóstico general: Error de registro, sistema no carga perfil de usuario. Se requiere revisión técnica especializada.",Baja,Actualizar Windows/macOS. Ejecutar Windows Update y reparación de archivos.,Garantía vigente,68.07,1.6
699,Laptop,Acer,Chromebook Spin 514,Ultrabook,Disco Duro/SSD,"SSD con error de sobretemperatura, throttle de escritura","Diagnóstico general: SSD con error de sobretemperatura, throttle de escritura. Se requiere revisión técnica especializada.",Crítica,Clonar disco inmediatamente si es posible. Reemplazo urgente de unidad. Recuperación de datos profesional.,En diagnóstico,103.6,16.2
700,Laptop,Acer,Aspire 3,Chromebook,Ventilación,"Ventilador no arranca al encender, motor quemado","Diagnóstico general: Ventilador no arranca al encender, motor quemado. Se requiere revisión técnica especializada.",Alta,Limpiar obstrucciones y reaplicar pasta térmica. Verificar heat pipes.,Requiere reemplazo de componente,28.09,2.3
701,Tablet,Amazon,Fire HD 8,Profesional,Pantalla,"Flex de pantalla dañado, imagen intermitente","Fallo en sistema de visualización. Flex de pantalla dañado, imagen intermitente. Verificar cable flex y controlador de backlight.",Media,Reemplazar cable flex o inverter. Verificar conexión al motherboard.,En diagnóstico,118.37,4.3
702,Laptop,Apple,MacBook Pro 16 M2 Pro,Económica,Teclado,"Teclado repite caracteres, debounce defectuoso","Diagnóstico: Teclado defectuoso. Teclado repite caracteres, debounce defectuoso. Reemplazo del conjunto recomendado.",Crítica,"Reemplazo completo del teclado. Si es por líquido, evaluar daño a motherboard.",Requiere reemplazo de componente,103.71,19.4
703,Computadora,MSI,Cubi 5,Workstation,BIOS,Temperatura CPU no reportada correctamente por BIOS,Error de inicialización de BIOS detectado. Temperatura CPU no reportada correctamente por BIOS. Verificar batería CMOS y versión de firmware.,Crítica,"Retroflash de BIOS con programador externo SPI. Si no es posible, reemplazo de placa madre.",Requiere reemplazo de componente,68.62,29.2
704,Laptop,HP,ZBook Firefly,2 en 1,Pantalla,"Bisagra rota daña cable de pantalla, imagen se corta","Fallo en sistema de visualización. Bisagra rota daña cable de pantalla, imagen se corta. Verificar cable flex y controlador de backlight.",Alta,Reemplazar panel o componente de backlight. Cotizar reparación vs equipo nuevo.,Requiere reemplazo de componente,203.35,13.4
705,Computadora,Gigabyte,AORUS Model S,Workstation,Disco Duro/SSD,"SSD con firmware corrupto, no monta partición","Diagnóstico general: SSD con firmware corrupto, no monta partición. Se requiere revisión técnica especializada.",Baja,Ejecutar optimización de disco. Liberar espacio en SSD para mejorar rendimiento.,Garantía vigente,90.87,2.9
706,Laptop,Apple,MacBook Air M2,Empresarial,Batería,Batería se calienta excesivamente durante la carga,Batería degradada. Batería se calienta excesivamente durante la carga. Verificar con diagnóstico de fabricante.,Media,Calibrar batería siguiendo procedimiento del fabricante. Verificar ciclo de carga.,Reparable,55.56,1.8
707,Computadora,MSI,Cubi 5,Servidor,Motherboard,"Keyboard controller dañado, teclado no responde","Diagnóstico: Teclado defectuoso. Keyboard controller dañado, teclado no responde. Reemplazo del conjunto recomendado.",Baja,Limpieza profunda y rethermal. Verificar conexiones y reseat de componentes.,En diagnóstico,478.72,3.1
